,name,price,description,link
0,Apple iMac 27 retina 5k 2017 в Москве,53000,"Шикарный аппарат, усилена оперативная память до 24 вместо 8, полностью рабочий, все порты, кнопка, шикарный звук, а экран просто бомба, все таки разрешение 5к, стоят две системы, родной жёсткий диск на 1 таб, «разбит» по 500, под macos и windows (активирован, настроен полностью). Комплект как с магазина, все родное, коробка родная и транспортировочная тоже есть, родная клавиатура не работает, отдам вместо нее проводную, мышь родная полностью рабочая.
Есть нюанс трещина в углу, не падал, ребёнок швырнул игрушку кубик, работе и изображению не мешает.
Компьютер с потенциалом, мне хватало и этих данных, но можно усилить ещё оперативкой и вместо жёсткого поставить ссд диск, также при желании вместо i5 поставить i7, продаю так как покупаю MacBook, мобильность сейчас нужнее, так бы пользовался и дальше. Цена как за iMac 21, учитывая коцку на экране, но потенциал больше чем у младшей версии, да и мощнее намного, все же Торг обоснованный имеется, но только (Исключительно Только) При Встрече! Обмены никакие Не Интересуют вообще.
Если не ответил на звонок, на работе могу быть занят, пишите с номером обязательно перезвоню.
Доставки Нет, Только личная встреча.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_retina_5k_2017_3213107062
1,Apple iMac Pro 27’ 2017 в Москве,180000,"Iмaс Рro 2017 27.
В идeальнoм coстoянии.
Был приoбpeтeн в 2018 гoду.
Использовался очень редко, в домашних условиях.
В комплекте беспроводные клавиатура и Trackpad.

Характеристики:
Дисплей Retina 5K с диагональю 27 дюймов.
Процессор: 3,2 ghz 8-Core Intel Xeon W. Ускорение Turbo Boost до 4,2 ггц.
Оперативная память: 32 GB 2666 mhz Ddr4.
Видеокарта (графика): Radeon Pro Vega 56 8 GB.
Хранилище: Ssd-накопитель ёмкостью 1 ТБ.
Высота: 51,6 см.
Ширина: 65,0 см.
Глубина подставки: 20,3 см.
Вес: 9,7 кг.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_pro_27_2017_3713602346
2,iMac 27 retina 5k 2017 в Москве,70000,"Комп в хорошем состоянии.
3 ghz 6-ядерный процессор Intel Core i5.
8 Гб 2400 mhz Ddr4.
Графика Radeon Pro 575 4 Гб.
Macintosh HD 1 ТБ.
Мышь, клавиатура (пару клавиш выпало).",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_retina_5k_2017_3806468517
3,Apple iMac 27 retina 5k в Москве,85000,"Куплен новым в 2017 году, в идеальном состоянии, практически не пользовались.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_retina_5k_3715238066
4,iMac 27 5K 2017 i5 / 32gb в Москве,84000,"Apple iMac 2017 года, полный комплект (коробка, провода, клавиатура, мышь).

Характеристики:
Core i5 3400 мгц.
32 гб оперативной памяти ddr4.
1Тб диск.
Radeon Pro 570 4 gb.

Есть еле заметные следы пыли в углу, практически не видно. Фото на белом приложил.",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_5k_2017_i5_32gb_3773629169
5,Apple iMac 27 2017 в Москве,68000,"Продаю свой личный компьютер, один хозяин как говорится)) покупал новым в 2017 году, по внешнему виду нареканий нет, пару мелких царапин от силы) внутри так же отличное состояние, проводилась полная чистка от пыли и менялись все расходники, жесткий диск hdd заменил на ssd 1 тб! Клавиатура чуть затасканная уже, но исправна. Мышь в хорошем состоянии, без дефектов. Продаю по очень хорошей цене поэтому торг будет символический.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_2017_3709881581
6,Моноблок apple iMac 27 2017 в Москве,88000,Состояние очень хорошее (бдизко к идеальному) с клавиатурой и мышкой в комплекте.,https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_apple_imac_27_2017_3359611943
7,iMac 27 5K 2017 i7/RP 580 8gb/32gb/2.12Tb Ростест в Москве,110000,"Apple iMac 27’ 5K Retina 2017.

Процессор 4.2 ghz 4-ядерный Intel Core i7.

Оперативная память 32ГБ 2400 mhz Ddr4.

Хранилище 2.12Tb Fusion Drive.

Графика Radeon Pro 580 8ГБ.

Ростест.

*Возможна оплата на р/с.

Компьютер в идеальном внешнем и техническом состоянии.

Все функции работают исправно, никаких нареканий по работе нет, тесты прошел должным образом.

Комплект: провод питания, аймак, клавиатура и мышь второго поколения, родная коробка.

Стекло и матрица в идеальном состоянии — без сколов, трещин, царапин и пыли.

Гарантия на проверку устройства от себя лично.

По запросу установлю программы и утилиты для проверки устройства перед вашим приездом.

Готов на любые проверки, время на проверку неограниченно.

Без торга.

Возможна курьерская доставка по Москве и области с оплатой после проверки!

Так же рассмотрю обмен на технику Apple в обе стороны!",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_5k_2017_i7rp_580_8gb32gb2.12tb_rostest_3758667401
8,"Apple iMac 27"" Retina 5K 2017 32 RAM 1 TB SSD в Москве",95000,"Моноблок iMac 27″ 5K 2017 до.
Дисплей 5К Retina (5120×2880 точек).
Процессор Intel® Core™i5 7-го поколения, 3.4 ггц (Kaby Lake).
Оперативная память 32 гб (Kingston Kcp424ss8/8 — 2шт, Crucial by micron Ct8g4sfs8213. M8fh — 2шт).
Видеокарта Amd Radeon Pro 570 с 4 Гб видеопамяти.
1Tb Ssd.

Клавиатура Apple Magic Keyboard с кейпадом. Есть царапка на задней панели (на фото видно).

Мышь Magic Mouse 2 (следы усердной работы тоже прикрепляю).

В основном работала в фигме, иллюстраторе, фотошопе. В целом это были все приложения Creative Cloud. Проблем не возникало. Все работает отлично. Из косяков моноблока — снизу две потертости на подставке (фото прикрепила).

Продается только комплектом. Торг реальному покупателю на месте!",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_retina_5k_2017_32_ram_1_tb_ssd_3431220474
9,Apple iMac Retina 5k 2017 32gb 3tb в Москве,105000,"Imaс Retina 5k, 27-inсh, 2017г.
Процеcсoр 4,2 ghz!
Intel Сore i7-7700К.
Жёсткий диcк 3TБ.
Oпepaтивная память 32GВ.
Bидeo карта Radеon 575 pro 4gb.

В oтличнoм cоcтoянии. В активной эксплуатации был нe большe пoлугода.
В комплекте оригинальная клавиатура Аррlе и мышка, + адаптер.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_retina_5k_2017_32gb_3tb_3591266804
10,"iMac 27 2020 (16gb, SSD) в Москве",119900,"Продаю свой моноблок Apple іМас 27, модель.
Конца 2020 года с 4k Retina экраном.
Есть все документы и чек о покупке?
Мощная версия с 6-ти ядерным процессором.
Core i5, 16gb оперативная память, видеокарта Amd Radeon Pro 5300 4gb и 256gb Ssd.
Куплен в начале 2021 года в Плеер. Ру, Ростест.
Состояние нового, почти не пользовались.
Актуальная модель, поддерживает последнюю macos Sanoma, в отличии от аймаков 2017 года!
Будет обновляться еще 3 года точно.
Последняя модель Аймаков с 27 экраном.
Полностью рабочий, любые проверки приветствуются.
Засветов и пыли под экраном вообще нет, что редкость для данной модели.
Полный комплект с коробкой, оригинальные мышка, клавиатура и кабель питания, а также все бумажки и инструкции, даже наклейки яблочек есть:).
Также могу привезти к вам на машине по договоренности.
Возможна отправка Сдэк в регионы.
Звоните или пишите, договоримся:).",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_2020_16gb_ssd_3713578241
11,Apple iMac 27 i7 Retina 5k 2017 16/512gb в Москве,95000,"В продаже отличный iMac 27 5k Retina 2017 года на 4 ядерном процессора intel core i7.

Видеокарта Radeon Pro 5 580 на 8гб.

Оперативная память 16 gb, жесткий диск на 512gb.

В отличном внешнем и техническом состоянии, экран без засветов и битых пикселей.

В комплекте идет родная оригинальная клавиатура и мышь, коробка не сохранилась.

Посмотреть и приобрести можно у меня в офисе по адресу Улица Пятницкая дом 10с1.

Работаем каждый день с 12:00 до 20:00.

Trade in на выгодных условиях.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_i7_retina_5k_2017_16512gb_3772659944
12,"Моноблок Apple iMac 2017 16GB 4k Retina 21,5 в Москве",55000,"Apple iMac 2017.

Распродаётся оптом большой лот Моноблоков Apple iMac.

Причина продажи — закрытие офисов. Все на гарантии. В наличие большое количество, более 100 шт одинаковой модели.

Модель iMac 2017.

Процессор Intel core i5 3ghz x4.

Диагональ 21,5 4096x2304 Retina.

Оперативная память 16GB Ram.

Жесткий диск 1TB Fusion drive.

Видео карта Radeon 555 2GB.

Скину по запросу полный актуальный каталог в вотсап с фотками и описанием.

Бизнес серии (берут бюджетные организации по тендерам, самые надёжные аппараты, есть в огромном количестве и в идеальном состоянии).

Модель: iMac A1419 Mne92ll/A, iMac 27« 5K Retina 2017, iMac 27» 5K Retina, iMac 27» Retina 2017, iMac 27» 2017, iMac 5K Retina, iMac 27», iMac 2017, Аймак 27» 5К Ретина 2017, Аймак 27» 5К Ретина, Аймак 27» Ретина 2017, Аймак 27» 2017, Аймак 5К Ретина, Аймак 27», Аймак 2017.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_apple_imac_2017_16gb_4k_retina_215_2399404154
13,iMac Pro 27 5k в Москве,350000,"IMac Pro 27” 5к 2017.
Ростест, куплен официально в Москве в декабре 2019, активно пользовался только первые полгода.
Самый мощный imac с шикарным дисплеем.
Заводская конфигурация без вмешательств, ремонтов, вскрытий и нареканий. Полный оригинал в отличном состоянии.
Cpu Xeon W 10 ядер.
Озу 64 Гб.
Ssd apple 1 Tb.
Radeon Pro Vega 64 16 Gb (не 56 с 8 гб).
Цвет спейс грей, русская клавиатура полноразмерная такого же цвета +тачпад, мыши нет.
Аккуратная домашняя эксплуатация, а не укатанный в офисе или студии. Работал немного и под одним пользователем, коробка есть, авитодоставкой не отправляю.
Обмен не рассматриваю.",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_pro_27_5k_3192950641
14,iMac 27 2017 5K на запчасти в Москве,0,"На запчасти!
Динамики — 2000₽ за штуку.
Вентилятор 1500.
Корпус — предлагайте цену.
Возможен торг.
Больше ничего нет!",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_2017_5k_na_zapchasti_3630775288
15,Apple iMac 27 в Зеленограде,87000,"Продам отличный Aррle imаc 27’ 5K Rеtinа 2017.
В идеальном состоянии.
Хар-ки:
Процeсcор 3.4 gнz 4-ядерный Intеl Сorе i5.
Oпepaтивнaя память 8 ГБ 2400 мнz Ddr4 (поддержка до 64 ГБ).
Hdd 1000 ГБ.
Графикa Amd Rаdеоn Pro 570 4ГБ.
Pоcтecт.
Куплен в Технопарк 08.2018.
Комплект: клавиатура, мышь, провод питания.
Использовался редко и бережно.
Не ремонтировался и не вскрывался!
Полностью очищен, По последнее обновление, ждет нового пользователя.
По договоренности могу привезти в Москву.",https://www.avito.ru/moskva_zelenograd/nastolnye_kompyutery/apple_imac_27_3648275243
16,"Apple iMac 27, 2017, 40gb в Москве",105000,"Продаю imac 27 дюймов, в идеальном состоянии! 1тб памяти, 40гб оперативной памяти! Компьютером пользовался с 2018-2021 год. После переезда комп третий год лежит в коробке, не нашел ему место для применения, так как есть ноутбук.

Приезжайте смотрите, проверяйте!",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_2017_40gb_3811776171
17,Apple iMac 27 2017 в Москве,100000,"IMac (Retina 5K, 27-inch, 2017).
Процессор: 3,8 ghz 4-ядерный процессор Intel Core i5.
Память: 8 ГБ 2400 mhz Ddr4.
Графика: Radeon Pro 580 8 ГБ.
Объём диска: 2 ТБ.

В отличном состоянии, нет сколов и царапин, полная комплектация с клавиатурой, мышью и оригинальным проводом для зарядки.

Есть коробка, ее внешнее состояние не очень, но для транспортировки подойдёт.

Продаю, потому что планирую купить игровой ноут.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_2017_2647215594
18,"iMac 27 (2017) i7 4.2, 32 Ram SSD 500 (1548) в Москве",99900,"Продается флагманская модель iMac 27"" Retina 2017 — iMac 2017 Bto/Cto i7 4.2, 500 GB Ssd, 32 Gb Ram, Radeon Pro 570 — 4Gb.

Техническое состояние идеальное, внешнее — отличное. (см. Фото на них именно это устройство).

IMac полностью сброшен к заводскому состоянию. От icloud отвязан, никаких паролей нет. Установлена чистая операционная систем Mac OS 12 Monterey.

Также возможна дополнительная установка операционной системы Windows.

Также возможна продажа с увеличенной оперативной памятью:

Преимущества iMac 5K 2017 над iMac 5K 2015.

1. Thunderbolt 2 — всё! Теперь балом правит разъем с далеким и светлым будущим: два многофункциональных Usb-C с поддержкой Thunderbolt 3. Скорость возросла в 2 раза — до бешеных 40 Гбит/с.

2. Обновленный дисплей, выполненный по новой технологии. Поддерживается 10-битный дизеринг, отображается миллиард цветов. И самое главное: ярче в полтора раза. Никаких бликов.

3. До 50% быстрее Ssd (в том числе Fusion Drive), перешли на стандарт Pci-E 3.0. Поддерживается конфигурация Ssd до 2 Тб.

4. Новые процессоры 7-го поколения с увеличенными частотами во всех режимах. Поддерживается аппаратное декодирование 10-битного Hevc видео.

5. Максимальный объем оперативной памяти увеличился в 2 раза: 64 Гб. Но самое главное — новые планки Ddr4 (против Ddr3 у предыдущего поколения).

6. Более производительная графика (до 5.5 терафлопс) Amd Radeon Pro 580, а так же объем видеопамяти 8 Gb.

За отдельную цену можем продать комплектные клавиатуру и мышь Аррle.

Любые проверки при покупке (офис в центре, рядом с метро).

Гарантия 1 месяц (есть возможность купить расширенную до 12 мес).

Оплата.

Оплатить товар можно в любом из наших магазинов после полной проверки работоспособности.

Для физических лиц:

— наличными со скидкой 3% (цена в объявлении указана уже с учетом скидки).

— банковской картой через терминал.

Для юридических лиц:

— по счету с Ндс (наценку уточняйте у менеджера).

— по счету без Ндс (наценку уточняйте у менеджера).

— корпоративной банковской картой через терминал.

При покупке товара физическим лицом выдается товарный и кассовый чек. При покупке юр. Лицами — полный комплект закрывающих документов.

Доставка.

По Москве есть собственная курьерская доставка с оплатой после проверки, а также доставка авито-курьером.

По России возможна отправка авито-доставкой (через Boxberry) или любыми транспортными компаниями (Сдэк, Пэк, ""Деловые линии"" и др.).

Характеристики:

Модель: iMac A1419, iMac 27"" 5K Retina 2017, iMac 27"" 5K Retina, iMac 27"" Retina 2017, iMac 27"" 2017, iMac 5K Retina, iMac 27"", iMac 2017, Аймак 27"" 5К Ретина 2017, Аймак 27"" 5К Ретина, Аймак 27"" Ретина 2017, Аймак 27"" 2017, Аймак 5К Ретина, Аймак 27"", Аймак 2017.

Процессор: 4-ядерный Intel Core i7 4,2 ггц (I7-7700K), Turbo Boost 2.0 до 4.2 ггц,

Память: 32 Gb.

Жесткий диск: 500 Ssd.

Экран: 5K Retina 5120x2880 точек.

Видеокарта: Amd Radeon Pro 570 — 4 gb.

Вывод видео: до одного внешнего дисплея 5120x2880 (5K) при 60 Гц; два 3840x2160 (4K Uhd) внешних дисплея с частотой 60 Гц; или два 4096x2304 (4K) внешних дисплея с частотой 60 Гц.

Беспроводные интерфейсы: Wi-Fi 802.11ac, Bluetooth 4.2.

Порты и интерфейсы: 2x Thunderbolt 3 (Usb-C), 4x Usb 3.0, картридер Sdxc, Gigabit Ethernet, ИК-приёмник.

Аудио: Встроенный динамик, аудиовход mini jack 3,5 мм (совмещенный цифровой и аналоговый вход), выход на наушники (совмещенный цифровой и аналоговый выход).

Размеры и вес:
Ширина: 65 см.

Глубина: 20,3 см.

Высота: 51,6 см.

Вес: 9,54 кг.

Помимо данного устройства у нас большой выбор техники Apple. Со всем ассортиментом можно ознакомиться в профиле магазина на Avito.

Так же у нас есть Trade-in (обмен вашей техники Apple на нашу с вашей или нашей доплатой). Сумма доплаты зависит от модели, технического и внешнего состояния устройства.",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_2017_i7_4.2_32_ram_ssd_500_1548_3705354365
19,Моноблок iMac 27 5K Retina 2017 в Москве,65000,"Пpодaю бoльшой 27-ми дюймовый iмас 2017 года.

Сoстoяние кoрпусa — oтличнoе. Ha экpaнe eсть небольшая трeщина, кoтоpая при вooбще не зaметна. Mac полнoстью cбpoшен к заводскoму сoстоянию. Oт iclоud отвязан. Уcтанoвлeна чистая опеpaциoннaя систeма maсоs.

Пpoцecсор: 4-ядерный Intеl Соrе i5 3,4 ггц.

Память: 32 Gb Ddr4 2667 мгц.

Жесткий диск: 1030 Гб.

Экран: 5К Rеtinа 5120х2880 точек.

Видеокарта: Амd Rаdеоn Рrо 570 — 4096 Мб.

Вывод видео: до одного внешнего дисплея 5120х2880 (5К) при 60 Гц; два 3840х2160 (4К Uнd) внешних дисплея с частотой 60 Гц; или два 4096х2304 (4К) внешних дисплея с частотой 60 Гц.

Беспроводные интерфейсы: Wi-Fi 802.11ac, Вluеtооth 4.2.
Порты и интерфейсы: 2х Тhundеrbоlt 3 (Usв-С), 4х Usв 3.0, картридер Sdхс, Gigаbit Еthеrnеt, ИК-приёмник.

Самовывоз.
Любые проверки онлайн или лично.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_imac_27_5k_retina_2017_3763706673
20,Моноблок apple iMac 27 retina 5k в Москве,75000,"Apple iMac 5k 27 2017 Mne92.
(3.4 Ghz, 8 Gb, 1Tb).
Куплен в 2019 году в biggeek.
Большой экран (смотреть фильмы), отличный звук (слушать музыку). Также использовался для учебы, работы и интернет-серфинга.
Обновлен до macos Ventura 13.6.4.

Без сколов и царапин, использовался аккуратно и не очень активно. Проблем в использовании никогда не возникало, не зависал, не ломался и не ремонтировался.
Внизу по углам имеются небольшие пылевые затемнения, как у всех моноблоков apple со временем (фото прилагаю), заметны только на белом фоне.
Не планировала продавать, но на работе ввели запрет на использование техники apple, стало не удобно.

Комплект: моноблок, клавиатура.
Прилагаю комплект logitech (клавиатура и мышь), которыми пользовалась сама, тк родная мышь была крайне неудобна.
Коробки нет.

Доставку не организую, забираете самостоятельно. Оплата только переводом.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_apple_imac_27_retina_5k_3827721396
21,Моноблок iMac 27 retina 5K 2017 8Гб RAM 1TB в Москве,75000,"Продам моноблок Apple iMac 27’ 2017 года. Версия на intel Core i5-7500 с видеографикой Radeon Pro 570. Оперативная память 8Гб. Диск на 1ТБ.
Отличный компьютер для личного пользования, тянет все офисные программы и видеомонтаж. Продаю в связи с покупкой нового компьютера.

Мышь и клавиатура Не идут в комплект. Коробка также отсутствует. Внешнее состояние моноблока отличное, царапины и сколы отсутствуют, экран и матрица в полном порядке. Единственное, расшаталось и перестало работать гнездо для наушников, но это решается переходником Usb-C-3,5 Jack, который я отдам вам вместе с компьютером.

Без обмена и торга. Для встречи писать в сообщения, на звонки отвечаю редко из-за включённого блокировщика неизвестных номеров.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_imac_27_retina_5k_2017_8gb_ram_1tb_3795663214
22,Apple iMac Late 2015 (активирован в 2017) в Москве,120000,"Apple iMac Late 2015 27 inch, куплен и активирован в конце 2017 года. Состояние отличное, абсолютно все полностью рабочее. Самая топовая комплектация:
Дисплей — Retina 5K, 27 дюймов (5120 х 2880).
Процессор — 4ghz 4-ядерный Intel Core i7.
Память — 32гб 1867 mhz Ddr3.
Графика — Amd Radeon R9 M395X 4гб.
Ssd — Fusion Drive 3.12TB.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_late_2015_aktivirovan_v_2017_3824371773
